,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,QP,,RLT,,IP,,FEAS,,MAX,,,,,,QP,,RLT,,IP,,FEAS,,MAX,,,Set,Size,Trivial Gap (%),,QP,,,RLT,,,IP,,,FEAS,,,MAX,
,,,GAP,T,GAP,T,GAP,T,GAP,T,GAP,T,,,,,GAP,T,GAP,T,GAP,T,GAP,T,GAP,T,,,,,,Gap (%),Time,,Gap (%),Time,,Gap (%),Time,,Gap (%),Time,,Gap (%),Time
,,,0.00,93.04,0.00,1618.92,0.00,0.05,0.00,0.21,0.00,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6    ,15    ,0.00,15.70,0.00,183.33,0.00,0.55,0.00,1.80,0.00,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,42.85,3600.00,50.00,3600.00,0.00,1.31,0.00,2.96,0.00,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,28.57,3600.00,50.00,3600.00,0.00,1.50,0.00,1.81,0.00,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30    ,33.33,3600.00,66.67,3600.00,0.00,1.46,0.00,2.77,0.00,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,33.33,3600.00,66.67,3600.00,0.00,1.25,0.00,3.41,0.00,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,33.33,3600.00,66.66,3600.00,0.00,1.79,0.00,4.11,0.00,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7    ,15    ,50.00,3600.00,71.43,3600.00,0.00,62.39,0.00,51.69,0.00,20.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,62.50,3600.00,71.43,3600.00,0.00,160.59,0.00,92.11,0.00,83.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,28.57,3600.00,57.14,3600.00,0.00,52.06,0.00,99.96,0.00,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30    ,62.50,3600.00,77.78,3600.00,0.00,167.50,0.00,197.84,0.00,247.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,62.50,3600.00,71.42,3600.00,0.00,147.98,0.00,208.15,0.00,33.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,66.66,3600.00,77.77,3600.00,0.00,225.84,0.00,1160.80,0.00,157.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drand,5    ,75    ,0.00,609.56,20.00,3600.00,0.00,0.09,0.00,0.18,0.00,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.00,286.89,33.33,3600.00,0.00,0.39,0.00,0.31,0.00,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.00,2604.39,60.00,3600.00,0.00,0.06,0.00,0.20,0.00,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,110    ,33.33,3600.00,66.66,3600.00,0.00,0.40,0.00,0.40,0.00,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.00,2511.59,40.00,3600.00,0.00,0.07,0.00,0.31,0.00,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,50.00,3600.00,66.66,3600.00,0.00,0.38,0.00,0.41,0.00,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7    ,75    ,33.33,3600.00,66.66,3600.00,0.00,0.69,0.00,0.82,0.00,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,42.85,3600.00,71.42,3600.00,0.00,13.09,0.00,10.92,0.00,9.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,33.33,3600.00,66.66,3600.00,0.00,0.62,0.00,0.82,0.00,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,110    ,42.85,3600.00,71.43,3600.00,0.00,16.51,0.00,10.54,0.00,9.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,42.85,3600.00,71.42,3600.00,0.00,15.32,0.00,11.74,0.00,10.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,33.33,3600.00,66.66,3600.00,0.00,1.16,0.00,1.39,0.00,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10    ,75    ,50.00,3600.00,71.42,3600.00,0.00,122.74,0.00,20.99,0.00,32.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,42.85,3600.00,71.43,3600.00,0.00,61.04,0.00,26.96,0.00,94.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,50.00,3600.00,62.50,3600.00,12.50,3600.00,0.00,691.76,0.00,743.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,110    ,62.50,3600.00,75.00,3600.00,0.00,3331.97,0.00,449.25,0.00,560.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,62.50,3600.00,75.00,3600.00,0.00,46.71,0.00,76.97,0.00,94.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,55.55,3600.00,77.77,3600.00,0.00,3054.72,0.00,574.49,0.00,598.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,14,0,7,0,53,0,54,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
